# data refs from sub_180388170 @ 0x180388170
# addr            name                  f32                       f64
0x0018098AC78  dword_18098AC78         0.03125                   4.656613931258713e-10
0x0018098AF20  aUseextjack             3671.208251953125         4.6491634897465033e+160
0x0018098AF2C  aMCv                    53650906939392.0          7.15033216e-315
0x0018098AF34  aMGate                  2.29639899597947e+20      5.5113281025189e-310
0x0018098AF40  aMasterTune             7.713022649682806e+31     1.7565140488848936e+97
0x0018098AF50  aPartTune               7.681332835388084e+31     1.2335579387283624e+224
0x0018098AF60  aPortamentoOnof         7.683065951443083e+31     6.196316647150258e+223
0x0018098AF78  aPortamentoMode         7.683065951443083e+31     6.196316647150258e+223
0x0018098AF88  aPortamentoTime         7.683065951443083e+31     6.196316647150258e+223
0x0018098AF98  aLfoGrifferRate         1.7556841293013242e-19    2.162487784290961e+185
0x0018098AFB0  aLfoTempoRateSw         1.7556841293013242e-19    3.6510027593635006e+233
0x0018098AFC8  aLfoTempoRate           1.7556841293013242e-19    3.6510027593635006e+233
0x0018098AFD8  aLfoRate                1.7556841293013242e-19    5.285486794505729e+180
0x0018098AFE4  aGate                   7.21282420052825e+22      8.409619296e-315
0x0018098AFF0  aLfoTrig                1.7556841293013242e-19    1.4172190419831748e+190
0x0018098B000  aResetSw                7.183775532571747e+22     6.167340816755127e+266
0x0018098B010  aLfoUseextgate          1.7556841293013242e-19    2.074566772707225e+26
0x0018098B020  aLfoDelay               1.7556841293013242e-19    1.996081641510278e+161
0x0018098B030  aLfoDelaySw             1.7556841293013242e-19    1.996081641510278e+161
0x0018098B040  aLfoSinSw               1.7556841293013242e-19    1.8145501376035047e-152
0x0018098B050  aLfoTriSw               1.7556841293013242e-19    1.5183150771281302e-152
0x0018098B060  aLfoSqrSw               1.7556841293013242e-19    2.2008280251821697e-152
0x0018098B070  aLfoSawSw               1.7556841293013242e-19    2.790036942946986e-152
0x0018098B080  aLfoSawInvSw            1.7556841293013242e-19    9.494003747428598e-114
0x0018098B090  aLfoSHSw                1.7556841293013242e-19    3.602334703999861e-153
0x0018098B0A0  aLfoNoiseSw             1.7556841293013242e-19    8.891899273318796e+247
0x0018098B0B0  aLfoNoiseMix            1.7556841293013242e-19    8.891899273318796e+247
0x0018098B0C0  aLfoInternalSw          1.7556841293013242e-19    5.298621028145556e+180
0x0018098B0D0  aLfoExternal0Sw         1.7556841293013242e-19    5.3087358522442e+180
0x0018098B0E8  aLfoExternal1Sw         1.7556841293013242e-19    5.3087358522442e+180
0x0018098B100  aReadOnly               1.66313092869193e+22      2.0491192191408999e+214
0x0018098B110  aLfoTriggerEnvS         1.7556841293013242e-19    1.417246236248407e+190
0x0018098B128  aEnvAttack              1.8152402286763473e-19    2.875666156059264e+161
0x0018098B138  aEnvSustain             1.8152402286763473e-19    8.916229988669894e+252
0x0018098B148  aEnvDecay               1.8152402286763473e-19    1.3634218892677193e+161
0x0018098B158  aEnvRelease             1.8152402286763473e-19    3.6821484203342624e+180
0x0018098B168  aQ24cInitialize         180.19654846191406        7.244426668453258e+199
0x0018098B178  aOsc1Feet               2.8423590148207722e-09    2.7586405757734592e+180
0x0018098B188  aGrifferBendSw          2.7560485885555173e+23    2.1952693650542834e-152
0x0018098B198  aBendEnableSw           1.7590485935556668e+22    2.1278474275232208e+161
0x0018098B1A8  aPwmSwLfo               1.7393064701606571e-19    5.128741173267298e+58
0x0018098B1B8  aPwmSwEnv1              1.7393064701606571e-19    9.877596202607214e+24
0x0018098B1C8  aPwmSwEnv2              1.7393064701606571e-19    9.877596202607214e+24
0x0018098B1D8  aPwmSwManual            1.7393064701606571e-19    3.361171815312456e+63
0x0018098B1E8  aTune                   7.038047155109367e+22     8.40770191e-315
0x0018098B1F0  aDetune                 3.09808189542851e+32      5.51007162953753e-310
0x0018098B1F8  aModSens                1.934917753676285e-19     1.0626249829033214e+248
0x0018098B204  aModSw                  1.934917753676285e-19     6.4820873928076e-310
0x0018098B210  aLfoGain                1.7556841293013242e-19    7.339361321842224e+223
0x0018098B220  aLfoLevel               1.7556841293013242e-19    5.808204758195047e+180
0x0018098B22C  aLfoSw                  1.7556841293013242e-19    6.4820873242929e-310
0x0018098B238  aEnv1Level              3.118558966619389e-09     2.0957146031151276e+262
0x0018098B248  aEnv2Level              1.2474235866477557e-08    2.095714608980375e+262
