param_id	offset	name
0	272	UseExtJack
1	304	M.CV
2	320	M.Gate
3	368	Master Tune
4	384	Part Tune
5	592	Portamento OnOff
6	608	Portamento Mode
7	624	Portamento Time
8	1040	LFO Griffer Rate Sw
9	1056	LFO Tempo Rate Sw
10	1072	LFO Tempo Rate
11	1088	LFO Rate
12	1856	Gate
13	1872	LFO Trig
14	1888	Reset Sw
15	1904	LFO UseExtGate
16	1920	LFO Delay
17	1936	LFO Delay Sw
18	1952	LFO Sin Sw
19	1968	LFO Tri Sw
20	1984	LFO Sqr Sw
21	2000	LFO Saw Sw
22	2016	LFO Saw(Inv) Sw
23	2032	LFO S&H Sw
24	2048	LFO Noise Sw
25	2064	LFO Noise Mix
26	2080	LFO Internal Sw
27	2096	LFO External0 Sw
28	2112	LFO External1 Sw
29	2528	read only
30	2544	read only
31	2560	LFO trigger env sw
32	2784	ENV Attack
33	2800	ENV Sustain
34	2816	ENV Decay
35	2832	ENV Release
36	2848	Q24C Initialize
37	3040	LFO trigger env sw
38	3264	ENV Attack
39	3280	ENV Sustain
40	3296	ENV Decay
41	3312	ENV Release
42	3328	Q24C Initialize
43	3840	OSC1 Feet
44	3856	Griffer Bend SW
45	3872	Bend Enable SW
46	3888	PWM SW LFO
47	3904	PWM SW ENV1
48	3920	PWM SW ENV2
49	3936	PWM SW Manual
50	3952	Tune
51	3968	Detune
52	3984	Mod Sens
53	4000	Mod Sw
54	4016	LFO Gain
55	4032	LFO Level
56	4048	LFO Sw
57	4064	ENV1 Level
58	4080	ENV2 Level
59	4096	ENV Sw
60	4112	Bend Level
61	4128	Bend Range
62	4144	PWM Level
63	4192	JU OSC Saw Lev
64	4208	JU OSC Sqr Lev
65	4224	JU OSC Sub Lev
66	5520	Duty Tune
67	6448	Osc1 Mute
68	6512	Osc1 Level
69	6528	Osc Noise Level
70	6720	Griffer SW
71	6736	LPF Cutoff
72	6832	LPF Resonance
73	6864	Velocity
74	7008	Env1/2
75	7024	Int/Env
76	7296	LFO Gain
77	7312	Ext LFO Sw
78	7328	GRF Bned SW
79	7344	LFO Level
80	7360	MOD Sens
81	7376	MOD SW
82	7392	ENV Level
83	7408	KCV Level
84	7424	Velocity Sens
85	7440	Velocity Offset
86	7456	Bend Level
87	7472	Bend Range
88	7600	Cutoff Tune
89	7616	Resonance Tune
90	7632	PlugIn Sw
91	9056	PlugIn Sw
92	9072	-12dB/oct Tap
93	9088	-18dB/oct Tap
94	9104	-24dB/oct Tap
95	9584	AMP TONE
96	9600	AMP VELOCITY SENS
97	9616	AMP FIX VELOCITY LEVEL
98	9680	Velocity
99	9824	Mute
100	10176	Gate SW
101	10192	ENV1 SW
102	10208	ENV2 SW
103	10224	Ext ENV SW
104	10240	HPF Cutoff
105	10256	HPF Switch
106	10272	Boost LPF Level
107	10288	Boost Thru Level
108	10304	ENV LEVEL
109	10320	AMP LEVEL
110	10784	UseExtJack
111	10816	M.CV
112	10832	M.Gate
113	10880	Master Tune
114	10896	Part Tune
115	11104	Portamento OnOff
116	11120	Portamento Mode
117	11136	Portamento Time
118	11552	LFO Griffer Rate Sw
119	11568	LFO Tempo Rate Sw
