offset	array	class	voice_distinct	written_at_v>0	writers	readers
101504	AUX	EVENT-MIRROR+NOTE+STATE-SEED	YES	YES	src/juno_note.c:238,src/juno_note.c:262	engine_b/eb_coefs.c:352,engine_b/eb_coefs.c:372,engine_b/eb_coefs.c:378
176	MAIN	BUILD-READ	no	no	-	engine_b/eb_coefs.c:261
208	MAIN	BUILD-READ	no	no	-	engine_b/eb_coefs.c:262
240	MAIN	BUILD-READ	no	no	-	engine_b/eb_coefs.c:263
272	MAIN	BUILD-READ	no	no	-	engine_b/eb_coefs.c:263
304	MAIN	BUILD-READ+NOTE	YES	YES	src/juno_note.c:160,src/juno_note.c:274	engine_b/eb_coefs.c:264
320	MAIN	EVENT-MIRROR+NOTE+STATE-SEED	YES	YES	src/juno_note.c:164,src/juno_note.c:249	engine_b/eb_coefs.c:351,engine_b/eb_coefs.c:371
368	MAIN	BUILD-READ	no	no	-	engine_b/eb_coefs.c:270
384	MAIN	BUILD-READ	no	no	-	engine_b/eb_coefs.c:271
544	MAIN	BUILD-READ	no	no	-	engine_b/eb_coefs.c:265
560	MAIN	STATE-SEED	render-only	no	-	engine_b/eb_coefs.c:347
592	MAIN	BUILD-READ+NOTE+RECALL	YES	YES	src/juno_apply.c:597,src/juno_note.c:305	engine_b/eb_coefs.c:218
608	MAIN	BUILD-READ+RECALL	no	no	src/juno_apply.c:654	engine_b/eb_coefs.c:218
624	MAIN	BUILD-READ+RECALL	no	no	src/juno_apply.c:597	engine_b/eb_coefs.c:219
656	MAIN	STATE-SEED	render-only	no	-	engine_b/eb_coefs.c:347
672	MAIN	STATE-SEED	render-only	no	-	engine_b/eb_coefs.c:348
688	MAIN	STATE-SEED	render-only	no	-	engine_b/eb_coefs.c:348
704	MAIN	STATE-SEED	render-only	no	-	engine_b/eb_coefs.c:349
768	MAIN	BUILD-READ	no	no	-	engine_b/eb_coefs.c:219
784	MAIN	BUILD-READ	no	no	-	engine_b/eb_coefs.c:220
800	MAIN	BUILD-READ	no	no	-	engine_b/eb_coefs.c:220
816	MAIN	BUILD-READ	no	no	-	engine_b/eb_coefs.c:221
832	MAIN	BUILD-READ	no	no	-	engine_b/eb_coefs.c:221
848	MAIN	BUILD-READ	no	no	-	engine_b/eb_coefs.c:222
864	MAIN	BUILD-READ	no	no	-	engine_b/eb_coefs.c:222
880	MAIN	STATE-SEED	no	no	-	engine_b/eb_coefs.c:349
912	MAIN	BUILD-READ	no	no	-	engine_b/eb_coefs.c:223
944	MAIN	BUILD-READ	no	no	-	engine_b/eb_coefs.c:256
976	MAIN	BUILD-READ	no	no	-	engine_b/eb_coefs.c:257
1008	MAIN	BUILD-READ	no	no	-	engine_b/eb_coefs.c:258
1040	MAIN	BUILD-READ	no	no	-	engine_b/eb_coefs.c:223
1056	MAIN	BUILD-READ+RECALL	no	no	src/juno_apply.c:597	engine_b/eb_coefs.c:231
1072	MAIN	BUILD-READ+RECALL	no	YES	src/juno_apply.c:622,src/juno_apply.c:815	engine_b/eb_coefs.c:231
1088	MAIN	BUILD-READ+RECALL	no	no	src/juno_apply.c:597	engine_b/eb_coefs.c:224
