RENDER  0 ->  1 : BIT-IDENTICAL  (0/8000 frames differ, first None)  10s
RENDER  1 ->  2 : BIT-IDENTICAL  (0/8000 frames differ, first None)  10s
RENDER  2 ->  3 : BIT-IDENTICAL  (0/8000 frames differ, first None)  10s
RENDER  3 ->  4 : BIT-IDENTICAL  (0/8000 frames differ, first None)  9s
RENDER  4 ->  5 : BIT-IDENTICAL  (0/8000 frames differ, first None)  10s
RENDER  5 ->  6 : BIT-IDENTICAL  (0/8000 frames differ, first None)  10s
RENDER  6 ->  7 : BIT-IDENTICAL  (0/8000 frames differ, first None)  10s
RENDER  7 ->  8 : BIT-IDENTICAL  (0/8000 frames differ, first None)  9s
RENDER  8 ->  9 : BIT-IDENTICAL  (0/8000 frames differ, first None)  9s
RENDER  9 -> 10 : BIT-IDENTICAL  (0/8000 frames differ, first None)  9s
RENDER 10 -> 11 : BIT-IDENTICAL  (0/8000 frames differ, first None)  9s
RENDER 11 -> 12 : BIT-IDENTICAL  (0/8000 frames differ, first None)  9s
RENDER 12 -> 13 : BIT-IDENTICAL  (0/8000 frames differ, first None)  9s
RENDER 13 -> 14 : BIT-IDENTICAL  (0/8000 frames differ, first None)  9s
RENDER 14 -> 15 : BIT-IDENTICAL  (0/8000 frames differ, first None)  9s
RENDER 15 -> 16 : BIT-IDENTICAL  (0/8000 frames differ, first None)  10s
RENDER 16 -> 17 : BIT-IDENTICAL  (0/8000 frames differ, first None)  11s
RENDER 17 -> 18 : BIT-IDENTICAL  (0/8000 frames differ, first None)  10s
RENDER 18 -> 19 : BIT-IDENTICAL  (0/8000 frames differ, first None)  10s
RENDER 19 -> 20 : BIT-IDENTICAL  (0/8000 frames differ, first None)  10s
RENDER 20 -> 21 : BIT-IDENTICAL  (0/8000 frames differ, first None)  10s
RENDER 21 -> 22 : BIT-IDENTICAL  (0/8000 frames differ, first None)  9s
RENDER 22 -> 23 : BIT-IDENTICAL  (0/8000 frames differ, first None)  9s
RENDER 23 -> 24 : BIT-IDENTICAL  (0/8000 frames differ, first None)  9s
RENDER 24 -> 25 : BIT-IDENTICAL  (0/8000 frames differ, first None)  9s
RENDER 25 -> 26 : BIT-IDENTICAL  (0/8000 frames differ, first None)  10s
RENDER 26 -> 27 : BIT-IDENTICAL  (0/8000 frames differ, first None)  10s
RENDER 27 -> 28 : BIT-IDENTICAL  (0/8000 frames differ, first None)  9s
RENDER 28 -> 29 : BIT-IDENTICAL  (0/8000 frames differ, first None)  9s
RENDER 29 -> 30 : BIT-IDENTICAL  (0/8000 frames differ, first None)  9s
RENDER 30 -> 31 : BIT-IDENTICAL  (0/8000 frames differ, first None)  9s
RENDER 31 -> 32 : BIT-IDENTICAL  (0/8000 frames differ, first None)  9s
RENDER 32 -> 33 : BIT-IDENTICAL  (0/8000 frames differ, first None)  9s
RENDER 33 -> 34 : BIT-IDENTICAL  (0/8000 frames differ, first None)  9s
RENDER 34 -> 35 : BIT-IDENTICAL  (0/8000 frames differ, first None)  10s
RENDER 35 -> 36 : BIT-IDENTICAL  (0/8000 frames differ, first None)  9s
RENDER 36 -> 37 : BIT-IDENTICAL  (0/8000 frames differ, first None)  9s
RENDER 37 -> 38 : BIT-IDENTICAL  (0/8000 frames differ, first None)  9s
RENDER 38 -> 39 : BIT-IDENTICAL  (0/8000 frames differ, first None)  9s
RENDER 39 -> 40 : BIT-IDENTICAL  (0/8000 frames differ, first None)  10s
RENDER 40 -> 41 : BIT-IDENTICAL  (0/8000 frames differ, first None)  9s
RENDER 41 -> 42 : BIT-IDENTICAL  (0/8000 frames differ, first None)  9s
RENDER 42 -> 43 : BIT-IDENTICAL  (0/8000 frames differ, first None)  9s
RENDER 43 -> 44 : BIT-IDENTICAL  (0/8000 frames differ, first None)  10s
RENDER 44 -> 45 : BIT-IDENTICAL  (0/8000 frames differ, first None)  10s
RENDER 45 -> 46 : BIT-IDENTICAL  (0/8000 frames differ, first None)  9s
RENDER 46 -> 47 : BIT-IDENTICAL  (0/8000 frames differ, first None)  9s
RENDER 47 -> 48 : BIT-IDENTICAL  (0/8000 frames differ, first None)  10s
RENDER 48 -> 49 : BIT-IDENTICAL  (0/8000 frames differ, first None)  10s
RENDER 49 -> 50 : BIT-IDENTICAL  (0/8000 frames differ, first None)  9s
RENDER 50 -> 51 : BIT-IDENTICAL  (0/8000 frames differ, first None)  9s
RENDER 51 -> 52 : BIT-IDENTICAL  (0/8000 frames differ, first None)  10s
RENDER 52 -> 53 : BIT-IDENTICAL  (0/8000 frames differ, first None)  9s
RENDER 53 -> 54 : BIT-IDENTICAL  (0/8000 frames differ, first None)  9s
RENDER 54 -> 55 : BIT-IDENTICAL  (0/8000 frames differ, first None)  10s
RENDER 55 -> 56 : BIT-IDENTICAL  (0/8000 frames differ, first None)  10s
RENDER 56 -> 57 : BIT-IDENTICAL  (0/8000 frames differ, first None)  10s
RENDER 57 -> 58 : BIT-IDENTICAL  (0/8000 frames differ, first None)  10s
RENDER 58 -> 59 : BIT-IDENTICAL  (0/8000 frames differ, first None)  9s
RENDER 59 -> 60 : BIT-IDENTICAL  (0/8000 frames differ, first None)  10s
RENDER 60 -> 61 : BIT-IDENTICAL  (0/8000 frames differ, first None)  10s
RENDER 61 -> 62 : BIT-IDENTICAL  (0/8000 frames differ, first None)  9s
RENDER 62 -> 63 : BIT-IDENTICAL  (0/8000 frames differ, first None)  10s
RENDER 63 ->  0 : BIT-IDENTICAL  (0/8000 frames differ, first None)  10s
