Quantity,LCSC Part Number,Manufacture Part Number,Comment,Footprint,Boards (qty per board)
39,C157925,,CLOCK_SYNC / SAT_SIG / BACKUP_MUX_SEL / GROUP1 / JST-XH CONT / S4B-XH-A,CONN-TH_S4B-XH-A-LF-SN,ESP32-S3_Motherboard x3; KeyswitchBoard x1; Multiplex16_Satellite x1; Multiplex16 x2
104,C157931,,BACKUP_MUX_EN / SAT_PWR / USB_PWR / JST-XH MUX EN1 / JST-XH MUX EN2 / JST-XH MUX EN3 / JST-XH MUX EN4 / JST-XH MUX EN5 / JST-XH MUX EN6 / JST-XH MUX EN7 / JST-XH MUX EN8 / JST-XH MUX EN9 / JST-XH MUX EN10 / JST-XH MUX EN11 / JST-XH MUX EN12 / JST-XH MUX EN13 / JST-XH MUX EN14 / JST-XH MUX EN15 / JST-XH MUX EN16 / JST-XH PWR / S2B-XH-A-,CONN-TH_S2B-XH-A-LF-SN,ESP32-S3_Motherboard x3; Multiplex16_Satellite x17; Multiplex16 x1
12,C5159940,,ESP32-S3 CONN,HDR-TH_11P-P2.54-V-F-1,ESP32-S3_Motherboard x4
203,C157928,,MUX_SIG / S3B-XH-A / TOGGLE,CONN-TH_S3B-XH-A-LF-SN,ESP32-S3_Motherboard x1; Multiplex16 x18; SwitchBoard x4
7,,MFR0W4F4701A50,"4.7k -- UNI-ROYAL 1/4W 1% metal film 4.7k, axial, fits DIN0207 (+15% spare)",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,ESP32-S3_Motherboard x2
10,C23630,,2.2uF CAP / CL10A225KO8NNNC (+15% spare),C0603,Headphone_Dac x4
10,C45783,,CL21A226MAQNNNE (+15% spare),C0805,Headphone_Dac x4
23,C14663,,CC0603KRX7R9BB104 (+15% spare),C0603,Headphone_Dac x5; Multiplex16_Satellite x2
21,C15850,,CL21A106KAYNNNE (+15% spare),C0805,Headphone_Dac x4; Multiplex16 x1
3,C46550600,,600R (+15% spare),0805,Headphone_Dac x1
12,C84256,,"FC-2012YOXK -- NCD0805R1 red, same NATIONSTAR NCD0805 series; replaces backordered NCD0805O1 orange (v2)",LED0805-RD_ORANGE,Headphone_Dac x1; Multiplex16 x1
28,C17414,,0805W8F1002T5E (+15% spare),R0805,Headphone_Dac x2; Multiplex16 x2
10,C21190,,0603WAF1001T5E (+15% spare),R0603,Headphone_Dac x4
7,C23140,,0603WAF330JT5E (+15% spare),R0603,Headphone_Dac x3
5,C22859,,0603WAF100JT5E (+15% spare),R0603,Headphone_Dac x2
2,C107671,,PCM5102APWR,TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL,Headphone_Dac x1
2,C69527,,VNEG GENERATOR,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,Headphone_Dac x1
2,C70439,,PHONESAMP,HSOP-20_L12.9-W7.5-P1.27-BL-EP,Headphone_Dac x1
15,C400226,,KEYSWITCH,KEY-TH_CPG1511_15.75,KeyswitchBoard x3
35,C49678,,CC0805KRX7R9BB104 (+15% spare),C0805,MIDICON3 x3; Multiplex16 x1; PB86-A1_8-Pack x1
5,C81598,,1N4148W_C81598,SOD-123F_L2.7-W1.6-LS3.8-RD,MIDICON3 x1
115,C17557,,0805W8F2200T5E / 220 (+15% spare),R0805,MIDICON3 x5; PB86-A1_3-Pack x3; PB86-A1_4-Pack x4; PB86-A1_8-Pack x8
6,C17513,,0805W8F1001T5E (+15% spare),R0805,MIDICON3 x1
5,C78589,,OPTOCOUPLER,SMD-6_L7.3-W6.5-P2.54-LS10.2-BL,MIDICON3 x1
10,C163712,,MIDI-OUT BUFFER / MIDI-THRU BUFFER,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,MIDICON3 x2
10,C10092,,SN74HC595DR,SOIC-16_3.9x9.9mm_P1.27mm,Multiplex16_Satellite x2
10,C496123,,CD74HC4067M96,SOIC-24_L15.4-W7.5-P1.27-LS10.3-BL,Multiplex16 x1
184,C17630,,0805W8F3300T5E (+15% spare),R0805,Multiplex16 x16
5,C609791,,XL9555,TSSOP-24_L7.8-W4.4-P0.65-LS6.4-BL,PB86-A1_8-Pack x1
5,C41409498,,PJ-603 headphone jack (Headphone_Dac J8) - added by the user (v2),,user_added.csv
