Board,Designator,Pins (netlist),Nets,What it probably is
ESP32-S3_Motherboard,AUDIO_PWR1,?,,"JST-XH connector, ? pins"
ESP32-S3_Motherboard,AUDIO_SIG1,?,,"JST-XH connector, ? pins"
ESP32-S3_Motherboard,I2C1,4,+3V3 GND SCL SDA,"JST-XH connector, 4 pins"
ESP32-S3_Motherboard,I2C2,4,+3V3 GND SCL SDA,"JST-XH connector, 4 pins"
ESP32-S3_Motherboard,I2C3,4,+3V3 GND SCL SDA,"JST-XH connector, 4 pins"
ESP32-S3_Motherboard,INT_MIDI_SIG1,3,GND INT_MIDI_RX INT_MIDI_TX,"JST-XH connector, 3 pins"
ESP32-S3_Motherboard,MIDI_PWR1,3,+3V3 +5V GND,"JST-XH connector, 3 pins"
ESP32-S3_Motherboard,MIDI_SIG1,3,GND MIDI_RX MIDI_TX,"JST-XH connector, 3 pins"
ESP32-S3_Motherboard,PEDAL1,3,GND RING_1 TIP_1,"JST-XH connector, 3 pins"
ESP32-S3_Motherboard,VOL_POT1,3,+3V3 GND VOL_POT,"JST-XH connector, 3 pins"
FaderBoard,CONN1,3,+3V3 GND SIG,"JST-XH connector, 3 pins"
Headphone_Dac,J11,3,+5V 3V3A GND,"JST-XH connector, 3 pins"
Headphone_Dac,J16,4,GND I2S_BCK_RS I2S_SD_RS I2S_WS_RS,"JST-XH connector, 4 pins"
Headphone_Dac,J8,4,CTED-(J8-PAD4) GND HP_RING HP_TIP,headphone jack
KeyswitchBoard,J49,2,GND KEY2,"JST-XH connector, 2 pins"
KeyswitchKeybed,J16,4,GND KEY1 KEY2 KEY3,"JST-XH connector, 4 pins"
KeyswitchKeybed,J17,4,GND KEY4 KEY5 KEY6,"JST-XH connector, 4 pins"
KeyswitchKeybed,J18,4,GND KEY7 KEY8 KEY9,"JST-XH connector, 4 pins"
KeyswitchKeybed,J19,4,GND KEY10 KEY11 KEY12,"JST-XH connector, 4 pins"
KeyswitchKeybed,SW1,2,GND KEY1,keyswitch/button (user-supplied?)
KeyswitchKeybed,SW10,2,GND KEY10,keyswitch/button (user-supplied?)
KeyswitchKeybed,SW11,2,GND KEY11,keyswitch/button (user-supplied?)
KeyswitchKeybed,SW12,2,GND KEY12,keyswitch/button (user-supplied?)
KeyswitchKeybed,SW2,2,GND KEY2,keyswitch/button (user-supplied?)
KeyswitchKeybed,SW3,2,GND KEY3,keyswitch/button (user-supplied?)
KeyswitchKeybed,SW4,2,GND KEY4,keyswitch/button (user-supplied?)
KeyswitchKeybed,SW5,2,GND KEY5,keyswitch/button (user-supplied?)
KeyswitchKeybed,SW6,2,GND KEY6,keyswitch/button (user-supplied?)
KeyswitchKeybed,SW7,2,GND KEY7,keyswitch/button (user-supplied?)
KeyswitchKeybed,SW8,2,GND KEY8,keyswitch/button (user-supplied?)
KeyswitchKeybed,SW9,2,GND KEY9,keyswitch/button (user-supplied?)
