Designator,Footprint,Quantity,Value,LCSC Part #
C1,C0603,1,2.2uF CAP,C23630
"C25, C26, C43, C44",C0805,4,CL21A226MAQNNNE,C45783
"C31, C32, C33",C0603,3,CL10A225KO8NNNC,C23630
"C34, C36, C40, C41, C42",C0603,5,CC0603KRX7R9BB104,C14663
"C51, C52, C53, C54",C0805,4,CL21A106KAYNNNE,C15850
FB1,0805,1,600R,C46550600
LED1,LED0805-RD_ORANGE,1,FC-2012YOXK,C84262
"R22, R26",R0805,2,0805W8F1002T5E,C17414
"R42, R43, R44, R45",R0603,4,0603WAF1001T5E,C21190
"R5, R6, R7",R0603,3,0603WAF330JT5E,C23140
"R8, R9",R0603,2,0603WAF100JT5E,C22859
U1,TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL,1,PCM5102APWR,C107671
U12,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,1,VNEG GENERATOR,C69527
U2,HSOP-20_L12.9-W7.5-P1.27-BL-EP,1,PHONESAMP,C70439
