Designator,Footprint,Quantity,Value,LCSC Part #
"C68, C69",C0603,2,CC0603KRX7R9BB104,C14663
J22,CONN-TH_S4B-XH-A-LF-SN,1,JST-XH CONT,C157925
J33,CONN-TH_S2B-XH-A-LF-SN,1,JST-XH MUX EN1,C157931
J34,CONN-TH_S2B-XH-A-LF-SN,1,JST-XH MUX EN2,C157931
J35,CONN-TH_S2B-XH-A-LF-SN,1,JST-XH MUX EN3,C157931
J36,CONN-TH_S2B-XH-A-LF-SN,1,JST-XH MUX EN4,C157931
J37,CONN-TH_S2B-XH-A-LF-SN,1,JST-XH MUX EN5,C157931
J38,CONN-TH_S2B-XH-A-LF-SN,1,JST-XH MUX EN6,C157931
J39,CONN-TH_S2B-XH-A-LF-SN,1,JST-XH MUX EN7,C157931
J40,CONN-TH_S2B-XH-A-LF-SN,1,JST-XH MUX EN8,C157931
J41,CONN-TH_S2B-XH-A-LF-SN,1,JST-XH MUX EN9,C157931
J42,CONN-TH_S2B-XH-A-LF-SN,1,JST-XH MUX EN10,C157931
J43,CONN-TH_S2B-XH-A-LF-SN,1,JST-XH MUX EN11,C157931
J44,CONN-TH_S2B-XH-A-LF-SN,1,JST-XH MUX EN12,C157931
J45,CONN-TH_S2B-XH-A-LF-SN,1,JST-XH MUX EN13,C157931
J46,CONN-TH_S2B-XH-A-LF-SN,1,JST-XH MUX EN14,C157931
J47,CONN-TH_S2B-XH-A-LF-SN,1,JST-XH MUX EN15,C157931
J48,CONN-TH_S2B-XH-A-LF-SN,1,JST-XH MUX EN16,C157931
J49,CONN-TH_S2B-XH-A-LF-SN,1,JST-XH PWR,C157931
"U13, U14",SOIC-16_3.9x9.9mm_P1.27mm,2,SN74HC595DR,C10092
