Designator,Footprint,Quantity,Value,LCSC Part #
"A0, A1, A10, A11, A12, A13, A14, A15, A2, A3, A4, A5, A6, A7, A8, A9, SIGIN1, SIGPASS1",CONN-TH_S3B-XH-A-LF-SN,18,S3B-XH-A,C157928
C1,C0805,1,CC0805KRX7R9BB104,C49678
C2,C0805,1,CL21A106KAYNNNE,C15850
CHIP1,SOIC-24_L15.4-W7.5-P1.27-LS10.3-BL,1,CD74HC4067M96,C496123
ENABLE1,CONN-TH_S2B-XH-A-LF-SN,1,S2B-XH-A-,C157931
LED1,LED0805-RD_ORANGE,1,FC-2012YOXK,C84262
"R1, R18",R0805,2,0805W8F1002T5E,C17414
"R10, R11, R12, R13, R14, R15, R16, R17, R2, R3, R4, R5, R6, R7, R8, R9",R0805,16,0805W8F3300T5E,C17630
"SELIN1, SELPASS1",CONN-TH_S4B-XH-A-LF-SN,2,S4B-XH-A,C157925
"TP1, TP2, TP3",TestPoint_Pad_D1.5mm,3,TestPoint,
