board,designator,pins,lcsc,note
ESP32-S3_Motherboard_v1.0,I2C1,4,C157925,GND +3V3 SDA SCL
ESP32-S3_Motherboard_v1.0,I2C2,4,C157925,GND +3V3 SDA SCL
ESP32-S3_Motherboard_v1.0,I2C3,4,C157925,GND +3V3 SDA SCL
ESP32-S3_Motherboard_v1.0,AUDIO_SIG1,4,C157925,GND BCK WS SD
ESP32-S3_Motherboard_v1.0,AUDIO_PWR1,3,C157928,GND +5V +3V3
ESP32-S3_Motherboard_v1.0,INT_MIDI_SIG1,3,C157928,GND TX RX
ESP32-S3_Motherboard_v1.0,MIDI_PWR1,3,C157928,GND +5V +3V3
ESP32-S3_Motherboard_v1.0,MIDI_SIG1,3,C157928,GND TX RX
ESP32-S3_Motherboard_v1.0,PEDAL1,3,C157928,GND TIP RING
ESP32-S3_Motherboard_v1.0,VOL_POT1,3,C157928,GND VOL_POT +3V3
FaderBoard_v1.0,CONN1,3,C157928,GND SIG +3V3
Headphone_Dac_v1.0,J16,4,C157925,GND BCK WS SD
Headphone_Dac_v1.0,J11,3,C157928,GND +5V 3V3A
KeyswitchBoard_v1.0,J49,2,C157931,GND KEY2
KeyswitchKeybed_v1.0,J16,4,C157925,GND KEY1-3
KeyswitchKeybed_v1.0,J17,4,C157925,GND KEY4-6
KeyswitchKeybed_v1.0,J18,4,C157925,GND KEY7-9
KeyswitchKeybed_v1.0,J19,4,C157925,GND KEY10-12
MIDICON3_v1.0,CN1,3,C157928,GND +5V +3V3
MIDICON3_v1.0,CN2,3,C157928,GND TX RX
PB86-A1_3-Pack_v1.0,J1,4,C157925,GND SIG1-3
PB86-A1_3-Pack_v1.0,J2,4,C157925,VCC LED1-3
PB86-A1_4-Pack_v1.0,SW 1-3,4,C157925,GND SIG1-3
PB86-A1_4-Pack_v1.0,LED 1-3,4,C157925,VCC LED1-3
PB86-A1_4-Pack_v1.0,SWLED 4,3,C157928,GND SIG4 LED4
PB86-A1_8-Pack_v1.0,I2C PORT A,4,C157925,GND VCC SDA SCL
PB86-A1_8-Pack_v1.0,I2C PORT B,4,C157925,GND VCC SDA SCL
PotentiometerBoard_v1.0,CONN1,3,C157928,GND SIG +3V3
Potentiometer_3-Pack_v1.0,CONN1,3,C157928,GND SIG1 +3V3
Potentiometer_3-Pack_v1.0,CONN2,3,C157928,GND SIG2 +3V3
Potentiometer_3-Pack_v1.0,CONN3,3,C157928,GND SIG3 +3V3
