# addr  segment  name  u32  f32  f64
0x180000000  ?    4294967295  nan  nan
0x180398F9B  .text  loc_180398F9B  1221626697  427098.28125  -7.421556852541433e+52
0x180398FB3  .text  loc_180398FB3  1221626697  427098.28125  218099953861722.28
0x180398FCB  .text  loc_180398FCB  1221626697  427098.28125  -6.409381591976402e-25
0x180398FE3  .text  loc_180398FE3  1221626697  427098.28125  1.404814249465624e-217
0x180398FFB  .text  loc_180398FFB  1221626697  427098.28125  -4.128378035503732e-256
0x180399013  .text  loc_180399013  1221626697  427098.28125  1.2132212646983625e-294
0x18039902B  .text  loc_18039902B  1221626697  427098.28125  8.593575733492931e+129
0x180399043  .text  loc_180399043  1221626697  427098.28125  -2.525424932021109e+91
0x180399064  .text  jpt_180398F99  3772315  5.286139216449472e-39  1.4218959059774052e-307
0x18067C560  .text  sub_18067C560  807683271  5.976059092027697e-10  3.99048557e-315
0x1806ADC87  .text  jpt_1806ADC85  7003344  9.813775192338422e-39  1.195444154712166e-306
0x1806ADCD0  .text  locret_1806ADCD0  179769283  1.7628187890775168e-32  -863308850061816.4
0x1806ADCD1  .text  loc_1806ADCD1  1711978255  1.637658524163526e+23  3.3160766514116836e+42
0x1806ADCD8  .text  loc_1806ADCD8  1208650568  141869.125  9.577859773865953e-233
0x1806ADCDF  .text  loc_1806ADCDF  1141552911  554.8602905273438  8.940776769987508e-298
0x1806ADCEF  .text  loc_1806ADCEF  2282403343  -4.174187327432155e-34  7.955563057139877e-232
0x1806ADCF5  .text  loc_1806ADCF5  40833011  1.756352406671179e-37  2.7646366271016972e-306
0x1806ADD00  .text  loc_1806ADD00  251824972  6.436322457192927e-30  5.6013205769021915e+19
0x1806ADD18  .text  loc_1806ADD18  143198859  8.247866214449158e-34  4.3196429246238843e-308
0x1806ADD20  .text  loc_1806ADD20  256117387  9.665576590879231e-30  -3.1417087944712216e-265
0x1806ADD30  .text  loc_1806ADD30  256117387  9.665576590879231e-30  -3.141711160575594e-265
0x1806ADD40  .text  loc_1806ADD40  256117387  9.665576590879231e-30  4.6717776173292675e+19
0x1806ADD58  .text  loc_1806ADD58  2332199756  -2.5141884598409873e-32  3.937731557790182e-235
0x1806ADD70  .text  loc_1806ADD70  251824972  6.436322457192927e-30  1.906029426529093e+58
0x1806ADD80  .text  loc_1806ADD80  251824972  6.436322457192927e-30  1.9060306237912342e+58
0x1806ADD90  .text  loc_1806ADD90  2332199756  -2.5141884598409873e-32  -6.954948176572352e-264
0x1806ADDA0  .text  loc_1806ADDA0  2332199756  -2.5141884598409873e-32  3.937731557790182e-235
0x1806ADDC0  .text  loc_1806ADDC0  2332199756  -2.5141884598409873e-32  3.937731557790182e-235
0x1806AF52C  .text  jpt_1806AF58B  7009694  9.822673437586884e-39  1.1997329628462057e-306
0x1806AF590  .text  loc_1806AF590  4048652616  -1.0375732784053614e+30  1.1016292892906176e+188
0x1806AF594  .text  loc_1806AF594  1727615369  5.8868665619744766e+23  -2.2731370582610447e-265
0x1806AF597  .text  loc_1806AF597  4249979238  -1.7407629037152891e+37  -3.6107768157846266e+19
0x1806AF59B  .text  loc_1806AF59B  3288289672  -510.636962890625  6.1396736482625736e+84
0x1806AF59E  .text  locret_1806AF59E  2303234243  -2.4142190937882828e-33  6.302593194330853e+84
0x1806AF5A0  .text  loc_1806AF5A0  4098984264  -6.640468981794313e+31  -3.2649020617736356e+19
0x1806AF5A4  .text  loc_1806AF5A4  3288093065  -504.6369934082031  -5.6544883560452e+266
0x1806AF5A8  .text  loc_1806AF5A8  4149315912  -4.2499001483483605e+33  -3.6107767745529283e+19
0x1806AF5B0  .text  loc_1806AF5B0  4082207048  -1.6601172454485783e+31  -2.1180726906899595e-265
0x1806AF5B4  .text  loc_1806AF5B4  2298171785  -1.5125681824400439e-33  1.0062955332771038e-232
0x1806AF5C0  .text  loc_1806AF5C0  4065429832  -4.150293113621446e+30  1.1451401162556144e+188
0x1806AF5C4  .text  loc_1806AF5C4  1727680905  5.910478394388825e+23  -3.495485391409149e+19
0x1806AF5C7  .text  loc_1806AF5C7  4266756454  -6.963051614861157e+37  5.21150577201186e-229
0x1806AF5CC  .text  loc_1806AF5CC  3272640840  -144.5362548828125  4.391519701287638e+183
0x1806AF5D0  .text  loc_1806AF5D0  1712359752  1.7063829140452446e+23  -5.753087317920182e-270
0x1806AF5E0  .text  loc_1806AF5E0  1712359752  1.7063829140452446e+23  -855493811769641.0
0x1806AF5E8  .text  loc_1806AF5E8  1209043272  148005.125  -855493748855081.0
