id	name	min	max	default	flags
0	LCD Contrast	0	9	4	0x0
1	LED Brightness	0	9	7	0x0
2	KNOB INDICATOR	0	1	1	0x0
3	Auto Power Off	0	2	2	0x0
4	Startup	0	1	0	0x0
5	Startup PATCH Model	0	3	0	0x0
6	Startup PATCH Memory	-1	63	0	0x0
7	Startup PERFORM	0	63	0	0x0
8	Knob Mode	0	1	0	0x0
9	LED Demo	0	10	5	0x0
10	Shop Mode	0	1	0	0x0
11	USB Driver	0	1	0	0x0
12	Keyboard Velocity SW	0	1	0	0x0
13	Keyboard Fixed Velocity	0	126	126	0x0
14	Keyboard Velocity Curve	0	2	1	0x0
15	Keyboard Velocity Offset	-10	10	0	0x0
16	HOLD PEDAL Polarity	0	1	0	0x0
17	EXPRESSION PEDAL Polarity	0	1	0	0x0
18	Local SW	0	2	1	0x0
19	Master Tune (SYSTEM-1)	0	20	10	0x0
20	MASTER TUNE	-100	100	0	0x0
21	Boost Mode	0	1	0	0x0
22	Output Gain	-12	12	0	0x0
23	Tempo Sync	0	3	0	0x0
24	Start / Stop	0	1	1	0x0
25	Sync Output	0	1	1	0x0
26	Click (Metoronome) Mode	0	4	0	0x0
27	Click (Metoronome) Level	0	127	0	0x0
28	Click (Metoronome) Type	0	3	0	0x0
29	MIDI Device ID	0	15	0	0x0
30	Remote Keyboard	0	1	0	0x0
31	MIDI Omni Mode	0	1	0	0x0
32	MIDI Channel (PATCH)	1	16	1	0x0
33	MIDI Channel (PERFORM)	0	16	16	0x0
34	MIDI Channel (Upper)	1	16	1	0x0
35	MIDI Channel (Lower)	1	16	2	0x0
36	MIDI Tx Program Change	0	1	1	0x0
37	MIDI Tx Bank Select	0	1	1	0x0
38	MIDI Tx Edit Data	0	1	1	0x0
39	MIDI Rx Program Change	0	1	1	0x0
40	MIDI Rx Bank Select	0	1	1	0x0
41	MIDI Rx Edit Data	0	1	1	0x0
42	USB-MIDI Thru	0	1	0	0x0
43	MIDI Thru	0	1	1	0x0
44	CLOCK (CV) IN Fine Tune	-100	100	0	0x0
45	CLOCK (CV) IN Key Follow	-100	100	0	0x0
46	CLOCK (CV) IN Assign	0	127	0	0x0
48	Realtime Rec Mode	0	1	0	0x0
49	Input Gain	0	3	2	0x0
50	Patch Tempo Switch	0	1	0	0x0
