rva	name	size	xrefs_to	n_callees	strings
0x1030	sub_7FF91DC61030	0x1CC	3	0	
0x1200	sub_7FF91DC61200	0x51	178	0	
0x1300	sub_7FF91DC61300	0x1E3	1	0	
0x14F0	sub_7FF91DC614F0	0x261	2	0	
0x1760	sub_7FF91DC61760	0xD1	5	1	c|w{
0x1840	sub_7FF91DC61840	0x1D1	2	0	
0x1A20	sub_7FF91DC61A20	0x2E1	2	0	
0x1D10	sub_7FF91DC61D10	0xD8	4	1	R j
0x1DF0	sub_7FF91DC61DF0	0xD	1	0	
0x1DFD	sub_7FF91DC61DFD	0x36	0	1	
0x1E40	sub_7FF91DC61E40	0x289	2	0	
0x20D0	sub_7FF91DC620D0	0xD	1	0	
0x20DD	sub_7FF91DC620DD	0x22E	0	1	
0x2310	sub_7FF91DC62310	0x5AD	2	4	Q
0x41C0	sub_7FF91DC641C0	0x299	0	1	H | H | L | H
0x4480	sub_7FF91DC64480	0x160	2	0	
0x45E0	sub_7FF91DC645E0	0x196	2	0	
0x4780	sub_7FF91DC64780	0x159	2	6	[[[[[[[[[[[[[[[[
0x48E0	sub_7FF91DC648E0	0x1F	2	0	
0x4900	sub_7FF91DC64900	0x21	4	0	
0x4921	sub_7FF91DC64921	0x9D	1	0	[[[[[[[[[[[[[[[[
0x49C0	sub_7FF91DC649C0	0x2E	4	0	
0x49F0	sub_7FF91DC649F0	0xF9	6	0	[[[[[[[[[[[[[[[[
0x4AF0	sub_7FF91DC64AF0	0xD	2	0	
0x4AFD	sub_7FF91DC64AFD	0xCB	0	1	
0x4BD0	sub_7FF91DC64BD0	0xD	1	0	
0x4BDD	sub_7FF91DC64BDD	0xDB	0	1	
0x4CC0	sub_7FF91DC64CC0	0xD	0	0	
0x4CCD	sub_7FF91DC64CCD	0xBD	0	2	
0x4D90	sub_7FF91DC64D90	0xD	0	0	
0x4D9D	sub_7FF91DC64D9D	0xBD	0	2	
0x4E60	sub_7FF91DC64E60	0x140	0	3	
0x4FA0	sub_7FF91DC64FA0	0x32	4	0	
0x5380	sub_7FF91DC65380	0xDB	0	1	
0x5480	sub_7FF91DC65480	0x67	7	0	UUUUUUUUUUUUUUUU3333333333333333
0x54E7	sub_7FF91DC654E7	0x7E3	1	0	
0x5D00	sub_7FF91DC65D00	0x8FA	14	0	UUUUUUUUUUUUUUUU3333333333333333
0x6600	sub_7FF91DC66600	0x158	4	0	
0x6760	sub_7FF91DC66760	0x1F	0	0	
0x677F	sub_7FF91DC6677F	0x536	0	3	
0x6CC0	sub_7FF91DC66CC0	0x3	0	0	
0x6CC3	sub_7FF91DC66CC3	0x3F8	0	3	UUUUUUUUUUUUUUUU3333333333333333
0x70C0	sub_7FF91DC670C0	0x3	0	0	
0x70C3	sub_7FF91DC670C3	0x891	0	3	
0x7960	sub_7FF91DC67960	0x3	0	0	
0x7963	sub_7FF91DC67963	0x8FC	0	4	
0x83C0	sub_7FF91DC683C0	0x42	0	0	
0x8448	nullsub_108	0x2	0	0	
0x8480	sub_7FF91DC68480	0x112	0	1	
0x85C0	sub_7FF91DC685C0	0x41	0	0	
0x8610	sub_7FF91DC68610	0x41	0	0	
0x8660	sub_7FF91DC68660	0x59	2	0	
0x86C0	sub_7FF91DC686C0	0x59	3	0	
0x8720	sub_7FF91DC68720	0x70	2	0	
0x8790	sub_7FF91DC68790	0x70	3	0	
0x8800	sub_7FF91DC68800	0x8A	2	0	
