pos	disp	family	struct	name	type	range	default
0	740	NAME	name0	name	int4x4		
1	741	NAME	name0	name	stringNx4		----------------
2	742	SETUP	ARP	DUMMY	int1x7	0,1	0
3	743	SETUP	SCAT	DUMMY	int1x7	0,9	0
4	744	SYSTEM	SYS_COM	Local SW	int1x7	0,2	1
5	745	SYSTEM	SYS_COM	Master Tune (SYSTEM-1)	int1x7	0,20	10
6	746	SYSTEM	SYS_COM	MASTER TUNE	int2x4	0,200	100
7	747	SYNTH	SYN_COM	VOLUME	int2x4	0,255	128
8	748	SYNTH	SYN_COM	TRANSPOSE	int1x7	0,11	0
9	749	SYNTH	SYN_COM	TEMPO	int3x4	0,2600	880
10	750	PATCH	LFO	(LFO WAVE)	int2x4	0,5	0
11	751	PATCH	LFO	LFO DELAY TIME	int2x4	0,255	0
12	752	PATCH	LFO	LFO RATE	int2x4	0,255	145
13	753	PATCH	LFO	DCO LFO MOD	int2x4	0,255	128
14	754	PATCH	LFO	VCF LFO MOD	int2x4	0,255	128
15	755	PATCH	LFO	(LFO AMP DEPTH)	int2x4	0,255	128
16	756	PATCH	LFO	LFO KEY TRIG	int2x4	0,1	0
17	757	PATCH	OSC1	(OSC1 WAVE)	int2x4	0,5	0
18	758	PATCH	OSC1	DCO PWM DEPTH	int2x4	0,255	0
19	759	PATCH	OSC1	DCO PWM SOURCE	int2x4	0,5	0
20	760	PATCH	OSC1	DCO RANGE	int2x4	0,5	3
21	761	PATCH	OSC1	(OSC1 CROSS MOD)	int2x4	0,255	0
22	762	PATCH	OSC2	(OSC2 WAVE)	int2x4	0,5	0
23	763	PATCH	OSC2	(OSC2 COLOR)	int2x4	0,255	0
24	764	PATCH	OSC2	(OSC2 MOD)	int2x4	0,5	0
25	765	PATCH	OSC2	(OSC2 RANGE)	int2x4	0,5	0
26	766	PATCH	OSC2	(OSC2 FINE TUNE)	int2x4	0,255	128
27	767	PATCH	OSC2	(OSC2 RING)	int2x4	0,3	0
28	768	PATCH	OSC2	(OSC2 SYNC)	int2x4	0,3	0
29	769	PATCH	OSC2	(OSC2 COARSE TUNE)	int2x4	0,22	11
30	770	PATCH	MIX	DCO PWM LEVEL	int2x4	0,255	128
31	771	PATCH	MIX	DCO SAW LEVEL	int2x4	0,255	0
32	772	PATCH	MIX	DCO SUB LEVEL	int2x4	0,255	0
33	773	PATCH	MIX	DCO NOISE LEVEL	int2x4	0,255	0
34	774	PATCH	MIX	(MIX SUB OSC TYPE)	int2x4	0,3	0
35	775	PATCH	MIX	(MIX NOISE TYPE)	int2x4	0,3	0
36	776	PATCH	PIT	(VCO ENV)	int2x4	0,255	128
37	777	PATCH	PIT	(PITCH ATTACK)	int2x4	0,255	0
38	778	PATCH	PIT	(PITCH DECAY)	int2x4	0,255	0
39	779	PATCH	FLT	VCF CUTOFF FREQ	int2x4	0,255	255
40	780	PATCH	FLT	(FILTER LPF TYPE)	int2x4	0,3	0
41	781	PATCH	FLT	VCF RESONANCE	int2x4	0,255	0
42	782	PATCH	FLT	HPF CUTOFF FREQ	int2x4	0,255	0
43	783	PATCH	FLT	VCF ENV MOD	int2x4	0,255	128
44	784	PATCH	FLT	ENV1 ATTACK	int2x4	0,255	0
45	785	PATCH	FLT	ENV1 DECAY	int2x4	0,255	0
46	786	PATCH	FLT	ENV1 SUSTAIN	int2x4	0,255	255
47	787	PATCH	FLT	ENV1 RELEASE	int2x4	0,255	0
48	788	PATCH	FLT	VCF KEY FOLLOW	int2x4	0,255	128
49	789	PATCH	AMP	ENV2 ATTACK	int2x4	0,255	0
50	790	PATCH	AMP	ENV2 DECAY	int2x4	0,255	0
51	791	PATCH	AMP	ENV2 SUSTAIN	int2x4	0,255	255
52	792	PATCH	AMP	ENV2 RELEASE	int2x4	0,255	0
53	793	PATCH	AMP	VCA TONE	int2x4	0,255	128
54	794	PATCH	EFX	EFFECT DEPTH	int2x4	0,255	0
55	795	PATCH	EFX	REVERB LEVEL	int2x4	0,255	0
56	796	PATCH	EFX	DELAY LEVEL	int2x4	0,255	0
57	797	PATCH	EFX	DELAY TIME	int2x4	0,255	128
58	798	PATCH	CTRL	PORTAMENTO	int2x4	0,255	0
59	799	PATCH	CTRL	LEGATO	int2x4	0,1	0
60	800	PATCH	CTRL	ASSIGN MODE	int2x4	0,3	0
61	801	PATCH	CTRL	BEND RANGE	int2x4	0,23	11
62	802	PATCH	CTRL	(MOD ASIGN)	int2x4	0,127	0
63	803	PATCH	CTRL	TEMPO SYNC	int2x4	0,1	0
64	804	PATCH	EXTEND	(MOD ID 1)	int2x4	0,255	0
65	805	PATCH	EXTEND	(MOD ID 2)	int2x4	0,255	0
66	806	PATCH	EXTEND	(MOD ID 3)	int2x4	0,255	0
67	807	PATCH	EXTEND	(MOD PRM 1)	int2x4	0,255	0
68	808	PATCH	EXTEND	(MOD PRM 2)	int2x4	0,255	0
69	809	PATCH	EXTEND	(MOD PRM 3)	int2x4	0,255	0
70	810	PATCH	EXTEND	VCA LEVEL	int2x4	0,255	128
71	811	PATCH	EXTEND	VCA LEVEL SW	int2x4	0,1	1
72	812	PATCH	EXTEND	(OSC1 EXTEND)	int2x4	0,1	0
73	813	PATCH	EXTEND	(OSC2 EXTEND)	int2x4	0,1	0
74	814	NAME	PAT_NAME	PATCH NAME 000-003	int8x4	0,2147483647	0
75	815	NAME	PAT_NAME	PATCH NAME 004-007	int8x4	0,2147483647	0
76	816	NAME	PAT_NAME	PATCH NAME 008-011	int8x4	0,2147483647	0
